Book_ID,User_ID,Genres,Country,Gender
8751b443950acd93ae0266d2fa099d66456fd402823d40a94260baa026f4faf050b03b698cc694c8dd50e5208b90bdbda50643a45d96f763b046ba13e259fcd9,2b747a362560d4f9ddac332013bfc1598b169886838cb9c99b40c709761904a003d8d0cf727b03886e2b1dee2396cd2c114fa6146689c34fb1ca54aaf6d8bed9,Graphic Novels/Manga,United States,male
bfecbffb7441562be79e784390d172c52c13dae8861352eb897cc4c5f8f876de31813b94c1950a1f6e69a0f9c8ac36c8a1361c499adedb48bd6a69359fbce304,2b747a362560d4f9ddac332013bfc1598b169886838cb9c99b40c709761904a003d8d0cf727b03886e2b1dee2396cd2c114fa6146689c34fb1ca54aaf6d8bed9,Art/Literature,United States,male
4b512b5b08926ed1bb4721af605a5fb561f587cd6ee913682564bb7bc358757dfcc7603dd91efd25af00d5ffa08e22baa6c59532ac0ea026d6da742464f5a148,2b747a362560d4f9ddac332013bfc1598b169886838cb9c99b40c709761904a003d8d0cf727b03886e2b1dee2396cd2c114fa6146689c34fb1ca54aaf6d8bed9,Art/Literature,United States,male
02d87bbdcb4ce0ecfac64d56d76ac5a7a641f2f740eacdcbdd659e5bacdf79398564b312b8514bb7aac8efe6a15a584295f3117ff2263d015cd6c7056c46a5c4,5bfb3615db83503c789b39395e77a2455cb4a795a9bff31ccef0e8a7b281c0846beaf6eb5e9205d4d314dd16e66a8e798e3b6f47b7de33f2973d953dff0b6e72,Non-Fiction,Thailand,female
0c65e37f18e98a1febe17ae96c63f236550813bddb6477f5124aba6dbda6936e5e9f42f0e22ec0ee73f2ea6f25027c8379b4654c30a3305b73d261ae72c6e96b,5bfb3615db83503c789b39395e77a2455cb4a795a9bff31ccef0e8a7b281c0846beaf6eb5e9205d4d314dd16e66a8e798e3b6f47b7de33f2973d953dff0b6e72,Non-Fiction,Thailand,female
566ee6f2a8c16782773d1016933f3ba740bad3247c70609a90f3a986d7986d322ec986e496e26d47b32d1c34ca001067e450b020ce08d86ea1f85b1e25d25b5e,5bfb3615db83503c789b39395e77a2455cb4a795a9bff31ccef0e8a7b281c0846beaf6eb5e9205d4d314dd16e66a8e798e3b6f47b7de33f2973d953dff0b6e72,Non-Fiction,Thailand,female
d49644133a76e12299335e1ff6bb1da572ffe0ddd2c1367d1aef18428d9141fc0fac8017bb621da90ef614d4a6f560d455995a0248d428d3f0acd3b88513f255,5bfb3615db83503c789b39395e77a2455cb4a795a9bff31ccef0e8a7b281c0846beaf6eb5e9205d4d314dd16e66a8e798e3b6f47b7de33f2973d953dff0b6e72,Non-Fiction,Thailand,female
4b83c8ddca88268d7dae6eaa085c84ef8229e2a6a122a0bcc6fbcd90d4a8ffee35e4cc01912c38771997d7f34cf8ea95ddfc0b3082f47e62bf7e8532f3c613cc,5bfb3615db83503c789b39395e77a2455cb4a795a9bff31ccef0e8a7b281c0846beaf6eb5e9205d4d314dd16e66a8e798e3b6f47b7de33f2973d953dff0b6e72,Non-Fiction,Thailand,female
d34e58713a331736ebba6ebbdd122207fc6a9802afd90c6c5f1ac6325c7ef7484c1c60dd077212c2eea0d8ef6c448b1a09eb8943dcbc6ec878431fc072d9e302,5bfb3615db83503c789b39395e77a2455cb4a795a9bff31ccef0e8a7b281c0846beaf6eb5e9205d4d314dd16e66a8e798e3b6f47b7de33f2973d953dff0b6e72,Non-Fiction,Thailand,female
cb1b716b11f02751c819a68e1a99e074f290ecd745be9126e54c400f9a7e59565fab4efd4fabf08be082fea28b236bbeb12831156b087c1b1c6c01b40cc2f198,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Non-Fiction,United States,female
cb1b716b11f02751c819a68e1a99e074f290ecd745be9126e54c400f9a7e59565fab4efd4fabf08be082fea28b236bbeb12831156b087c1b1c6c01b40cc2f198,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Non-Fiction,United States,female
55186ebec7f3745e52653b8682f2f3faefef869969090d983158a43b5e3c994cf34e3c3a8c6ac6e598b7a664581ac6d9ee57f5b1f61d360c48e30c0059137558,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Art/Literature,United States,female
00b6242602a65cfa25a696fbcb28e819bee4295ac173e6103145d0a88d2f72b61d2208506b8c63911e029eed19be095dac865b21ff49e9559ff34aa74afbba37,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Art/Literature,United States,female
c64b10329bd9ecbe0c7e63bdf74a0da6da45740b2281e33d61fb6445d60169209dd97ca6ba8944946e182cf32a459f89ca646e98d7b013e9a1a0c96b54fe9840,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Fantasy,United States,female
05d7dc132cf49e4c33c21ac2610f6b66a9738595e00ad84ad6cb02aef5c0ae69d1692ea0af17375415af1d512823d7ce74d7f5dabb7704067b63e1996bcce251,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Non-Fiction,United States,female
11ea617fa2df4156ad70dd122c49bcd13b49200516dc720f2de3a64a3347d7cf5157ca547476d5ad390cede9aeefad3e5e5045e686a4901e6ec1329a46b01c38,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Art/Literature,United States,female
969fcd74cff41b2df7e66961915cca78b82cb4a9b92049769897aeddb0ab9845837e61c058cbea8d38e643959b9dc2c3dac502f79bf8ab1199d9caf7a6f4ead1,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Art/Literature,United States,female
a570fb1c44f7e29e870dc90da02b73b4bfe296c61adf47a7ab6bb6372275cf616bcf9757f6a183ecebcd4c80d220e41037f4a583e7763579aee1c8da80c7ab4c,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Non-Fiction,United States,female
a08292f910f294e332f08ce4fd96feb6e970c3a6a669a55214ce2fff57286afc5194b4f09f8be8cf55c452eb2e69b30022b7724340e913555997d003f0e7a5bc,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Sci-Fi,United States,female
85849c190f9a3d835071edb98328827aa371424304164f4618faee2615007a4c0629e0d90d2da95caa6c534156ce4358f8bba02b918293741321b9fbfe8d8e77,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Non-Fiction,United States,female
cbe99884e1fc8766323d8b776a8f0d550d32648689d925e287c5ace234911a9cb4856f21281ba9b7f15d74079474c2966482df17ead787d13dbc3c8dc40750c6,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Sci-Fi,United States,female
d39be3dac2760c44cae874ceb21d4f199d106e77c760ddad83b3764f98f9d6024ee164a5dfc3fcd6e979e320da47afa7f6b2a8ff7ebcee030ae7dd9a8b05af45,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Non-Fiction,United States,female
d39be3dac2760c44cae874ceb21d4f199d106e77c760ddad83b3764f98f9d6024ee164a5dfc3fcd6e979e320da47afa7f6b2a8ff7ebcee030ae7dd9a8b05af45,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Non-Fiction,United States,female
a97fd5815e99d5741db168f4d76bbab7cda11c7bc23ce069def3dafc01a8f01a3fa48649554542f6c76604583e5360b3ef4b60c04b4230558a7a23e97b434efa,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Art/Literature,United States,female
da26961268e8805d2012684e4f71998a4034907250673a764b883d238e6efac734d38397f5a750cd95feae056986ca391f8022221708c272e31ae018084282fa,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Art/Literature,United States,female
9f9e50c3bef00cef6bf37a8c34c0d2fbfb42ce7d8f1b2eb1c0ea94233253c521306f97a38643dc6b5673ac33ad024eb296529580fa080e5c5e001b1586431f20,124bdafe2f71ea17c52e4938766fcaa64c28a6ed5cb75c42c5186ab583cdee067622cd887b4e012de8acb7dfd9ea6e9f253694ac141a0511c688c8209d499d5c,Fantasy,United States,female
7890c7c6dbdce26dab3933e12dec3986c9ce85029ead5c557bf3ccb23a3409a8f340d3dfa310e419ba8caed2ee6db29d3ee01dda87056a2c0bb0a78b960918eb,a4fa07a05ddb0fa11089cf4c3e3825f49f1660ea821b62dfdcd89ba1e278d25e885a8b4825ce810ee0ebdd9d61fcf780e9fa875f620087ea4077c016d464615d,Graphic Novels/Manga,Canada,male
57ce1d68ee324f3f645851258f700e9ff4a20f2313c9a323fe5f3c68824cd0fb226212f62b19323e3f9daf1af49b0ab20dd721ac40fd24848512f794279a5fa0,a4fa07a05ddb0fa11089cf4c3e3825f49f1660ea821b62dfdcd89ba1e278d25e885a8b4825ce810ee0ebdd9d61fcf780e9fa875f620087ea4077c016d464615d,Graphic Novels/Manga,Canada,male
855d7219101f7c402bd158d5cdae17c874eeee9d04eca231f35f375a6727ce393dad7bdcb8b60de26ba82a294e7d480f88ae57b6dc58311dcdf36dff6e34b348,a4fa07a05ddb0fa11089cf4c3e3825f49f1660ea821b62dfdcd89ba1e278d25e885a8b4825ce810ee0ebdd9d61fcf780e9fa875f620087ea4077c016d464615d,Graphic Novels/Manga,Canada,male
4a508da2364c6b2a6b476b753bdb456a898a9e592c803afea79094f125493232e6ed37b382ee3329ea654892da6cb6a85a8cd379e984623c3bc78d85fcbd4af3,a4fa07a05ddb0fa11089cf4c3e3825f49f1660ea821b62dfdcd89ba1e278d25e885a8b4825ce810ee0ebdd9d61fcf780e9fa875f620087ea4077c016d464615d,Graphic Novels/Manga,Canada,male
a8755596bc5bcceb5e6e02433df811840316d5003cde0a677710e9194fd9ac6d33efd88d4689d7670eaca9d4071a774743678cc44a17c94f6e3ade840527eb18,a4fa07a05ddb0fa11089cf4c3e3825f49f1660ea821b62dfdcd89ba1e278d25e885a8b4825ce810ee0ebdd9d61fcf780e9fa875f620087ea4077c016d464615d,Non-Fiction,Canada,male
2f8111ee41026ea5a8c4e6a5be7b0bc54de3814eecf8efe74f62e0fc98b733336c49c51aad06aabd112125f027bf41132360b9653fd57498c5a032e5d72805f2,a4fa07a05ddb0fa11089cf4c3e3825f49f1660ea821b62dfdcd89ba1e278d25e885a8b4825ce810ee0ebdd9d61fcf780e9fa875f620087ea4077c016d464615d,Non-Fiction,Canada,male
